S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prime Debenture 2088,3,837.00,837.00,837.00,50.00,41850.00,837.00,0.00 
2,10.5 % NEPAL INVESTMENT DEBENTURE 2082,3,915.00,912.10,912.10,1030.00,940916.00,910.00,2.10 
3,8.5% Sanima Debenture 2087,1,760.00,760.00,760.00,25.00,19000.00,765.00,-5.00 
4,8.5% SBL Debenture 2084,1,817.20,817.20,817.20,25.00,20430.00,801.20,16.00 
5,8.75 % Prime Debenture 2085,1,770.00,770.00,770.00,30.00,23100.00,785.00,-15.00 
6,9.5% Manjushree Finance Limited Debenture 2085,2,818.00,815.10,815.10,25.00,20406.50,823.20,-8.10 
7,9.5% NCC Debenture 2086,2,877.10,860.00,860.00,100.00,86855.00,895.00,-35.00 
8,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,22,735.00,710.10,731.00,681.00,495671.50,719.00,12.00 
9,Agricultural Development Bank Limited,244,325.00,313.50,324.00,35973.00,11517735.00,317.50,6.50 
10,Ankhu Khola Jalvidhyut Company Ltd,191,180.90,167.00,179.00,40134.00,7006068.20,168.90,10.10 
11,Api Power Company Ltd.,512,217.00,205.00,215.00,124060.00,26301928.50,203.90,11.10 
12,Arun Kabeli Power Ltd.,310,399.70,378.00,397.10,36958.00,14431058.30,378.00,19.10 
13,Arun Valley Hydropower Development Co. Ltd.,347,278.10,255.00,276.00,101125.00,27312422.00,258.00,18.00 
14,Asha Laghubitta Bittiya Sanstha Ltd,32,985.00,931.00,985.00,897.00,857479.60,950.00,35.00 
15,Asian Life Insurance Co. Limited,93,453.90,435.00,451.60,12923.00,5761171.80,435.10,16.50 
16,Aviyan Laghubitta Bittiya Sanstha Limited,521,795.00,706.00,778.00,9803.00,7108378.50,731.00,47.00 
17,Balephi Hydropower Limited,89,243.70,225.40,240.00,3859.00,922083.90,230.00,10.00 
18,Barun Hydropower Co. Ltd.,41,216.20,205.00,215.00,6430.00,1355461.00,208.00,7.00 
19,Best Finance Company Ltd.,94,317.00,300.00,317.00,13193.00,4068528.20,303.90,13.10 
20,Bindhyabasini Hydropower Development Company Limited,85,338.10,310.00,328.20,2085.00,683663.00,326.00,2.20 
Total Amount Rs.,"1,290,619,342"
Total Quantity,"3,970,544"
Total No of Transactions,"27,923"
